,fips,state,year,month,count
2000-01-01,6,CA,2000,1,0
2000-02-01,6,CA,2000,2,0
2000-03-01,6,CA,2000,3,0
2000-04-01,6,CA,2000,4,0
2000-05-01,6,CA,2000,5,0
2000-06-01,6,CA,2000,6,0
2000-07-01,6,CA,2000,7,0
2000-08-01,6,CA,2000,8,0
2000-09-01,6,CA,2000,9,0
2000-10-01,6,CA,2000,10,0
2000-11-01,6,CA,2000,11,0
2000-12-01,6,CA,2000,12,0
2001-01-01,6,CA,2001,1,0
2001-02-01,6,CA,2001,2,0
2001-03-01,6,CA,2001,3,0
2001-04-01,6,CA,2001,4,0
2001-05-01,6,CA,2001,5,0
2001-06-01,6,CA,2001,6,0
2001-07-01,6,CA,2001,7,0
2001-08-01,6,CA,2001,8,0
2001-09-01,6,CA,2001,9,0
2001-10-01,6,CA,2001,10,0
2001-11-01,6,CA,2001,11,0
2001-12-01,6,CA,2001,12,0
2002-01-01,6,CA,2002,1,0
2002-02-01,6,CA,2002,2,0
2002-03-01,6,CA,2002,3,0
2002-04-01,6,CA,2002,4,0
2002-05-01,6,CA,2002,5,0
2002-06-01,6,CA,2002,6,0
2002-07-01,6,CA,2002,7,0
2002-08-01,6,CA,2002,8,1
2002-09-01,6,CA,2002,9,0
2002-10-01,6,CA,2002,10,0
2002-11-01,6,CA,2002,11,0
2002-12-01,6,CA,2002,12,0
2003-01-01,6,CA,2003,1,0
2003-02-01,6,CA,2003,2,0
2003-03-01,6,CA,2003,3,0
2003-04-01,6,CA,2003,4,0
2003-05-01,6,CA,2003,5,0
2003-06-01,6,CA,2003,6,0
2003-07-01,6,CA,2003,7,0
2003-08-01,6,CA,2003,8,0
2003-09-01,6,CA,2003,9,1
2003-10-01,6,CA,2003,10,1
2003-11-01,6,CA,2003,11,0
2003-12-01,6,CA,2003,12,0
2004-01-01,6,CA,2004,1,0
2004-02-01,6,CA,2004,2,0
2004-03-01,6,CA,2004,3,0
2004-04-01,6,CA,2004,4,0
2004-05-01,6,CA,2004,5,0
2004-06-01,6,CA,2004,6,18
2004-07-01,6,CA,2004,7,88
2004-08-01,6,CA,2004,8,134
2004-09-01,6,CA,2004,9,42
2004-10-01,6,CA,2004,10,9
2004-11-01,6,CA,2004,11,0
2004-12-01,6,CA,2004,12,0
2005-01-01,6,CA,2005,1,0
2005-02-01,6,CA,2005,2,0
2005-03-01,6,CA,2005,3,0
2005-04-01,6,CA,2005,4,0
2005-05-01,6,CA,2005,5,0
2005-06-01,6,CA,2005,6,5
2005-07-01,6,CA,2005,7,76
2005-08-01,6,CA,2005,8,157
2005-09-01,6,CA,2005,9,58
2005-10-01,6,CA,2005,10,8
2005-11-01,6,CA,2005,11,1
2005-12-01,6,CA,2005,12,0
2006-01-01,6,CA,2006,1,0
